Type,TT First Peak Position,TT Second Peak Position,TT First Peak Amplitude,TT Second Peak Amplitude,TT First Peak Width,TT Second Peak Width,"TT 1,2 Amp Ratio",TE First Peak Position,TE Second Peak Position,TE Third Peak Position,TE First Antipeak Position,TE First Peak Amplitude,TE Second Peak Amplitude,TE Third Peak Amplitude,TE First Antipeak Amplitude,TE First Peak Width,TE Second Peak Width,TE Third Peak Width,TE First Antipeak Width,"TE -1,2 Amp Ratio"
Planck,220,535,5509.385412040726,2425.989247313166,229.72294056845396,140.44465355588912,2.270985091192175,310,590,915,150,109.20280091607036,20.16877638832024,56.932571986917246,40.29834138225915,148.3705941934376,119.86462930167988,149.6430227882908,106.21211607491149,1.9980558367237373
CAMB: 0.015,217,519,4788.56179,2672.61776,233.19740883713712,133.5021592053535,1.7917121788489498,297,584,897,146,103.415949,27.2665745,37.7127451,37.9792212,136.05138022162862,126.79519181676756,139.9114681383478,92.52289025733738,1.3928856813311843
CAMB: 0.01515,217,519,4799.34113,2667.9776,233.0376903763888,133.6053762788361,1.7988685999462661,297,584,897,147,103.583978,27.3083028,38.1764706,38.0750165,136.25445376600467,126.67628393819871,140.02109185164102,92.61900094154304,1.3942652086016856
CAMB: 0.0153,217,520,4810.15612,2663.28639,232.8814256484674,133.70457173363405,1.8060979615489265,297,584,897,147,103.750686,27.3482664,38.6333411,38.173231,136.45922196106713,126.55890869416692,140.13280992474597,92.71327197166345,1.395819041751034
CAMB: 0.01545,217,520,4821.00182,2658.59033,232.72932274377723,133.79893562212413,1.813367695503504,297,584,897,147,103.915898,27.3853538,39.0859525,38.2718867,136.66543585637555,126.44464151926968,140.2416823390688,92.80850217624652,1.3975312124687613
CAMB: 0.0156,217,520,4831.87939,2653.82918,232.58134542198275,133.8998518159434,1.820719821160456,298,585,898,147,104.083709,27.4228831,39.5307418,38.3710196,136.87131614972546,126.33214124852793,140.3508341397196,92.90469555356528,1.399233605747311
CAMB: 0.01575,217,521,4842.78832,2649.03038,232.43725596654207,133.99717988472668,1.8281361952519395,298,585,898,147,104.254714,27.4597167,39.976251,38.4705796,137.07438994691316,126.21891015115852,140.45800157169026,93.00183427311424,1.4009823925095337
CAMB: 0.0159,217,521,4853.73251,2644.23457,232.29666805816197,134.08781348901073,1.8355907471552344,298,585,898,147,104.42435,27.4937233,40.4152456,38.5704907,137.2794064394212,126.10623343246323,140.56431793736408,93.09679881280356,1.4028834974126623
CAMB: 0.01605,217,521,4864.7067,2639.38633,232.15982621210003,134.18649645847722,1.8431203665436882,298,585,898,147,104.592399,27.5249522,40.8482876,38.6707926,137.48579900834514,125.99649185842452,140.67032785310778,93.19258160642201,1.4049358676088817
CAMB: 0.0162,217,522,4875.71204,2634.49032,232.02697788945306,134.28337831635793,1.8507230802806671,299,585,899,147,104.762283,27.5532858,41.2760361,38.7714633,137.69076241981043,125.890590430506,140.77867429629248,93.28917811925345,1.407144816826166
CAMB: 0.01635,217,522,4886.7481,2629.63606,231.89876025040365,134.3706999303995,1.858336282474009,299,585,899,147,104.936138,27.5775497,41.7043717,38.872475,137.8944079787616,125.78427489394687,140.88012321204098,93.38665039350705,1.4095695746312082
